PointNo_,X,Y,Z,grad,angle,turn,d,Distance
33,37.8250453850754,117.461392437377,11.8191,-0.0388999999999999,-2.22936831471199,41.566774964343,1,1781
33,38.5533225056397,116.815552579623,11.7802,-0.0388999999999999,-2.22936831471199,41.566774964343,1,1782
33,39.281599626204,116.169712721869,11.7413,-0.0388999999999999,-2.22936831471199,41.566774964343,1,1783
33,40.0098767467683,115.523872864114,11.7024,-0.0388999999999999,-2.22936831471199,41.566774964343,1,1784
33,40.7381538673326,114.87803300636,11.6635,-0.0388999999999999,-2.22936831471199,41.566774964343,1,1785
33,41.4664309878969,114.232193148606,11.6246,-0.0388999999999999,-2.22936831471199,41.566774964343,1,1786
33,42.1947081084612,113.586353290851,11.5857,-0.0388999999999999,-2.22936831471199,41.566774964343,1,1787
33,42.9229852290255,112.940513433097,11.5468,-0.0388999999999999,-2.22936831471199,41.566774964343,1,1788
33,43.6512623495898,112.294673575343,11.5079,-0.0388999999999999,-2.22936831471199,41.566774964343,1,1789
33,44.3795394701541,111.648833717589,11.469,-0.0388999999999999,-2.22936831471199,41.566774964343,1,1790
33,45.1078165907184,111.002993859834,11.4301,-0.0388999999999999,-2.22936831471199,41.566774964343,1,1791
33,45.8360937112827,110.35715400208,11.3912,-0.0388999999999999,-2.22936831471199,41.566774964343,1,1792
33,46.564370831847,109.711314144326,11.3523,-0.0388999999999999,-2.22936831471199,41.566774964343,1,1793
33,47.2926479524113,109.065474286572,11.3134,-0.0388999999999999,-2.22936831471199,41.566774964343,1,1794
33,48.0209250729756,108.419634428817,11.2745,-0.0388999999999999,-2.22936831471199,41.566774964343,1,1795
33,48.7492021935399,107.773794571063,11.2356,-0.0388999999999999,-2.22936831471199,41.566774964343,1,1796
33,49.4774793141042,107.127954713309,11.1967,-0.0388999999999999,-2.22936831471199,41.566774964343,1,1797
33,50.2057564346685,106.482114855554,11.1578,-0.0388999999999999,-2.22936831471199,41.566774964343,1,1798
33,50.9340335552328,105.8362749978,11.1189,-0.0389000000000017,-2.22936831471209,41.566774964343,1,1799
33,51.6623106757971,105.190435140046,11.08,-0.0423111111111112,-2.42497200350611,41.566774964343,1,1800
33,52.3905877963614,104.544595282292,11.0376888888889,-0.0423111111111112,-2.42497200350611,41.566774964343,1,1801
33,53.1188649169257,103.898755424537,10.9953777777778,-0.0423111111111112,-2.42497200350611,41.566774964343,1,1802
33,53.84714203749,103.252915566783,10.9530666666667,-0.0423111111111112,-2.42497200350611,41.566774964343,1,1803
33,54.5754191580543,102.607075709029,10.9107555555556,-0.0423111111111112,-2.42497200350611,41.566774964343,1,1804
33,55.3036962786186,101.961235851274,10.8684444444444,-0.0423111111111112,-2.42497200350611,41.566774964343,1,1805
33,56.0319733991829,101.31539599352,10.8261333333333,-0.0423111111111112,-2.42497200350611,41.566774964343,1,1806
33,56.7602505197472,100.669556135766,10.7838222222222,-0.0423111111111112,-2.42497200350611,41.566774964343,1,1807
33,57.4885276403115,100.023716278012,10.7415111111111,-0.0423111111111112,-2.42497200350611,41.566774964343,1,1808
33,58.2168047608758,99.3778764202573,10.6992,-0.0423111111111112,-2.42497200350611,41.566774964343,1,1809
33,58.9450818814401,98.732036562503,10.6568888888889,-0.0423111111111112,-2.42497200350611,41.566774964343,1,1810
33,59.6733590020044,98.0861967047487,10.6145777777778,-0.0423111111111112,-2.42497200350611,41.566774964343,1,1811
33,60.4016361225687,97.4403568469944,10.5722666666667,-0.0423111111111112,-2.42497200350611,41.566774964343,1,1812
33,61.129913243133,96.7945169892401,10.5299555555556,-0.0423111111111112,-2.42497200350611,41.566774964343,1,1813
33,61.8581903636973,96.1486771314859,10.4876444444444,-0.0423111111111112,-2.42497200350611,41.566774964343,1,1814
