PointID,Long,Lat,Z,X,Y,Distance,d,TurnR,Grad,angle
136,-0.009308534,51.53904401,6.860892463,153.3092607,149.8443597,250.2751979,1.570717831,28.48642556,-0.011619352,-0.665709899
137,-0.009292733,51.53905416,6.842641739,154.4033046,150.9739711,251.8459157,1.570717831,28.48642556,-0.013387125,-0.766979951
138,-0.0092788,51.5390651,6.823484743,155.3679495,152.1906055,253.4166336,1.431001455,28.48642556,-0.012773091,-0.731804403
139,-0.009268509,51.53907614,6.805206432,156.0804804,153.4192017,254.847635,1.431001455,28.48642556,-0.013346521,-0.764653914
140,-0.009260223,51.539088,6.786107541,156.6540888,154.7382805,256.2786365,1.431001455,28.48642556,-0.010278617,-0.588900625
141,-0.0092534,51.5391003,6.76615548,157.1264883,156.1069083,257.7096379,1.941123117,28.48642556,-0.014656774,-0.839711141
142,-0.009245714,51.53911719,6.737704878,157.6586049,157.9862269,259.650761,1.941123117,NaN,-0.015385168,-0.881435677
143,-0.0092396,51.53913421,6.707840372,158.0818363,159.88008,261.5918842,1.941123117,NaN,-0.015975606,-0.91525695
144,-0.009234945,51.53915135,6.676829754,158.4041308,161.78715,263.5330073,1.941123117,NaN,-0.016427986,-0.941169621
145,-0.009231632,51.5391686,6.64494101,158.6334367,163.7061193,265.4741304,1.941123117,NaN,-0.016742309,-0.959174027
146,-0.009229548,51.53918595,6.612442127,158.7777022,165.6356702,267.4152535,1.941123117,NaN,-0.016918574,-0.96927041
147,-0.009228576,51.53920337,6.579601092,158.8448755,167.574485,269.3563766,1.941123117,NaN,-0.016956781,-0.971458911
148,-0.009228604,51.53922087,6.546685891,158.8429051,169.5212462,271.2974997,1.941123117,NaN,-0.016856931,-0.965739559
149,-0.009229515,51.53923843,6.513964512,158.7797391,171.4746361,273.2386229,1.941123117,NaN,-0.016619024,-0.952112274
150,-0.009231196,51.53925603,6.481704941,158.6633258,173.433337,275.179746,1.941123117,NaN,-0.016243059,-0.930576871
151,-0.009233531,51.53927367,6.450175164,158.5016136,175.3960313,277.1208691,1.941123117,NaN,-0.015729036,-0.901133064
152,-0.009236405,51.53929134,6.419643169,158.3025505,177.3614014,279.0619922,1.941123117,NaN,-0.015076956,-0.86378048
153,-0.009239704,51.53930901,6.390376942,158.074085,179.3281295,281.0031153,1.941123117,NaN,-0.014286818,-0.818518676
154,-0.009243312,51.53932669,6.36264447,157.8241653,181.2948981,282.9442384,1.941123117,NaN,-0.013358622,-0.765347161
155,-0.009247116,51.53934436,6.336713739,157.5607397,183.2603895,284.8853616,1.941123117,NaN,-0.012069487,-0.691497109
156,-0.009251,51.539362,6.312852736,157.2917563,185.2232861,286.8264847,1.976969023,NaN,-0.011076082,-0.634586779
157,-0.009254942,51.53937993,6.290955666,157.0187901,187.2186416,288.8034537,1.976969023,NaN,-0.009712662,-0.556477032
158,-0.009258858,51.53939783,6.271754035,156.7475607,189.2099924,290.7804227,1.976969023,NaN,-0.008466399,-0.485077346
159,-0.00926276,51.5394157,6.255016226,156.4773253,191.1973917,292.7573917,1.976969023,NaN,-0.007671869,-0.439557099
160,-0.009266659,51.53943352,6.239849178,156.2073412,193.1808932,294.7343608,1.976969023,NaN,-0.0073519,-0.421225226
161,-0.009270564,51.53945132,6.225314701,155.9368654,195.1605503,296.7113298,1.976969023,NaN,-0.00750649,-0.430082136
162,-0.009274487,51.53946908,6.210474602,155.665155,197.1364165,298.6882988,1.976969023,NaN,-0.008131946,-0.465915943
163,-0.009278439,51.5394868,6.194397995,155.3914674,199.1085452,300.6652678,1.976969023,NaN,-0.009011557,-0.516310191
164,-0.009282431,51.53950449,6.176582427,155.1150595,201.0769899,302.6422369,1.976969023,NaN,-0.009812254,-0.562182714
165,-0.009286472,51.53952215,6.157183904,154.8351886,203.0418041,304.6192059,1.976969023,NaN,-0.010505717,-0.601911104
166,-0.009290574,51.53953978,6.136414427,154.5511119,205.0030414,306.5961749,1.976969023,NaN,-0.011091945,-0.635495583
167,-0.009294748,51.53955738,6.114485995,154.2620864,206.9607551,308.5731439,1.976969023,NaN,-0.011570939,-0.662936358
168,-0.009299003,51.53957494,6.091610608,153.9673694,208.9149988,310.550113,1.976969023,NaN,-0.011942697,-0.684233618
169,-0.009303352,51.53959248,6.068000266,153.666218,210.8658259,312.527082,1.976969023,NaN,-0.012207221,-0.699387515
170,-0.009307804,51.53960998,6.043866967,153.3578893,212.8132899,314.504051,1.976969023,NaN,-0.01236451,-0.708398165
171,-0.009312371,51.53962746,6.019422713,153.0416405,214.7574443,316.48102,1.976969023,NaN,-0.012414565,-0.711265639
172,-0.009317063,51.5396449,5.994879503,152.7167288,216.6983426,318.457989,1.976969023,NaN,-0.012357385,-0.70798996
173,-0.009321891,51.53966232,5.970449336,152.3824114,218.6360382,320.4349581,1.976969023,NaN,-0.01219297,-0.698571101
174,-0.009326865,51.5396797,5.946344212,152.0379453,220.5705846,322.4119271,1.976969023,NaN,-0.01192132,-0.683008988
175,-0.009331996,51.53969706,5.922776131,151.6825878,222.5020354,324.3888961,1.976969023,NaN,-0.011542436,-0.661303505
176,-0.009337296,51.5397144,5.899957092,151.3155959,224.430444,326.3658651,1.976969023,NaN,-0.011056317,-0.633454494
177,-0.009342775,51.5397317,5.878099096,150.9362269,226.3558638,328.3428342,1.976969023,NaN,-0.010462963,-0.599461766
178,-0.009348442,51.53974898,5.857414142,150.5437379,228.2783484,330.3198032,1.976969023,NaN,-0.009762375,-0.559325113
179,-0.009354311,51.53976624,5.838114229,150.1373861,230.1979512,332.2967722,1.976969023,NaN,-0.008954552,-0.513044312
180,-0.00936039,51.53978346,5.820411357,149.7164286,232.1147257,334.2737412,1.976969023,NaN,-0.008039494,-0.460619148
181,-0.00936669,51.53980067,5.804517527,149.2801226,234.0287254,336.2507102,1.976969023,NaN,-0.007017201,-0.402049423
182,-0.009373224,51.53981785,5.790644737,148.8277253,235.9400038,338.2276793,1.976969023,NaN,-0.005838234,-0.33450238
